"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1973001661103972852","Tue Sep 30 12:27:07 +0000 2025","24","Kalau anda santri atau mantan santri pasti langsung paham. Janji kokoh dalam tepuk sakinah adalah penerjemahan dari mitsaqan ghaliza. Apa itu mitsaqan ghaliza? Ya bahasa agama bahwa pernikahan adalah ikatan yang kuat. Artinya gak boleh dibuat main-main. Walaupun masih","1973001661103972852","","","in","","0","0","5","https://x.com/undefined/status/1973001661103972852","176586074",
"1975880559068139800","Wed Oct 08 11:06:50 +0000 2025","3","Tepuk sakinah https://t.co/LmRzn6pbbV","1975880559068139800","https://pbs.twimg.com/amplify_video_thumb/1975862966554972160/img/jg_7fxM3LAzYSqZ3.jpg","","in","","0","1","0","https://x.com/undefined/status/1975880559068139800","1311303039936917504",
"1974160149930786964","Fri Oct 03 17:10:32 +0000 2025","2","Kira kira siapa yang bakal tepuk sakinah duluan","1974160149930786964","","","in","","1","4","0","https://x.com/undefined/status/1974160149930786964","1546664506214199296",
"1973190049450828206","Wed Oct 01 00:55:42 +0000 2025","9","kira kira di ateez siapa udah hafal tepuk sakinah","1973190049450828206","","","in","","0","12","0","https://x.com/undefined/status/1973190049450828206","1317869263143591936",
"1974869993805467959","Sun Oct 05 16:11:12 +0000 2025","3","Ganta cocok jadi duta tepuk sakinah tiktok: deniasismail https://t.co/WIgQg5lF5A","1974869993805467959","https://pbs.twimg.com/amplify_video_thumb/1974869915363684355/img/DJQ0ULtdJbyxQHCI.jpg","","in","","0","1","0","https://x.com/undefined/status/1974869993805467959","1294512266767773696",
"1975519593054806153","Tue Oct 07 11:12:29 +0000 2025","12","miimunah &amp; muhmodin: km kalo maw join sirkel kita tepuk sakinah dulu bongcyl: anu anak salah saya apa yh kack https://t.co/UFUgjWuSwD","1975519593054806153","https://pbs.twimg.com/media/G2p0b4AbIAAI_UI.jpg","","in","","0","4","0","https://x.com/undefined/status/1975519593054806153","1181040129021841409",
"1974438951143477425","Sat Oct 04 11:38:23 +0000 2025","23","Kami siap tepuk sakinah tiap hari demi Gadhing-Tanaya happy ending ️ @moiembrasses https://t.co/KDKKgYFDRk","1974438951143477425","https://pbs.twimg.com/media/G2adw0nagAAIWCJ.jpg","","in","","0","2","2","https://x.com/undefined/status/1974438951143477425","1428752937707130885",
"1974489640955527538","Sat Oct 04 23:00:07 +0000 2025","45","@hrdbacot habis belajar tepuk sakinah kali aja nanti bisa be with you till jannah. AHAAAAY #TaliKasihHRDbacotQ4 https://t.co/w55yJ4Zymg","1974610513587023917","https://pbs.twimg.com/media/G2c5ylGaIAA0GuQ.jpg","hrdbacot","in","","1","13","1","https://x.com/undefined/status/1974610513587023917","1315792980",
"1972296196917178428","Sun Sep 28 13:43:51 +0000 2025","10","dari kemarin bingung banget banyak yg bilang fattrose suruh ngapalin tepuk sakinah. Kirain aku tuh apa gitu istilah baru. Ternyata itu tepuk orang yg mau nikah yaaa. Ya Allah ada-ada aja ","1972296196917178428","","","in","","0","0","0","https://x.com/undefined/status/1972296196917178428","1535260009851781120",
"1972295140447600764","Sun Sep 28 13:39:39 +0000 2025","21","udah mah sabar ngewenya enak** hafal tepuk sakinah kalo masih disia-siain mah rugi banget udah **katanya","1972295140447600764","","","in","","0","6","0","https://x.com/undefined/status/1972295140447600764","2941584397",
